

1544038311.876329053  Node Startup
1544038312.015375818 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038382.202025663 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038387.221033466 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038392.232246245 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038397.253682588 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038402.259851256 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038407.260183459 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038412.278435561 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038417.295542596 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038422.304814117 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038427.317923230 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038432.331446808 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038437.350939140 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544038442.373135702 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
